lemma;significato;categoria;note
αγαθοεργία/ας,η;Il fare bene, Benificio;Sostantivo;Prima declinazione
αγαθοεργός/οῦ,ο;Benefico, Ben operante;Sostantivo;Seconda declinazione
αγαθοθέλεια/ας,η;Desiderio del bene;Sostantivo;Prima declinazione
Αγαθοκλῆς/έους,ο;Agatocle;Sostantivo;Terza declinazione, Tiranno di Siracusa dal 361 al 289 a.C.
Αγαθόκλεια/ας,η;Agatoclea;Sostantivo;Prima declinazione
Αγαθόνικος/ου,ο;Agatonico;Sostantivo;Seconda declinazione, Martire cristiano canonizzato protettore del 21 Agosto
αγαθοποιέω;Faccio bene, Giovo, Benefico;Verbo;Verbo contratto
αγαθοποιία/ας,η;Beneficenza, Opera benefica;Sostantivo;Prima declinazione
αγαθοποιός/ον;Benefico, Che opera bene;Aggettivo;Prima classe
αγαθοπρεπής/ές;Che conviene al bene, Benigno;Aggettivo;Seconda classe
αγαθοπρεπῶς;In modo conveniente al bene;Avverbio;
αγαθόρρυτος/ον;Fonte di bene;Aggettivo;Prima classe
αγαθός/ή/όν;Bello, Onesto, Propizio, Abile;Aggettivo;Prima classe, "καλοκαγαθία" --> Correlazione tra la bellezza esteriore con quella interiore e viceversa
αγαθῶς;Bene;Avverbio;
αγαθότης/ητος,η;Bontà;Sostantivo;Terza Declinazione
αγαθότυπος/ον;Bellissimo;Aggettivo;Prima classe
αγαθοτυχέω;Abito la case della buona fortuna;Verbo;
αγαθουργικός/ή/όν;Benefico;Aggettivo;Prima classe
αγαθοφανής/ές;Buono all'apparenza;Aggettivo;Seconda classe
αγαθοφιλής/ές;Amante del bene;Aggetivo;Seconda classe
αγαθόφρων/ον;Di buona intenzione;Aggettivo;Seconda classe
αγαθοφυής/ές;Di buona indole;Aggettivo;seconda classe
αγαθόω;.Rendo buono, Miglioro, Benefico;Verbo;
αγαθύνω;Benefico, Orno, Onoro, Rallegro;Verbo;
Αγάτυρσος/ου,ο;Agatirso;Sostantivo;Seconda declinazione, Uno dei figli di Ercole
αγάθωμα,τό;Il bene;Sostantivo;Seconda declinazione, Personificazione
